name1,name2
James C. Jackson,C. C. Foote
James C. Jackson,Hon J. R. Giddings
James C. Jackson,G. W. Julian
James C. Jackson,C. Durkee
James C. Jackson,Wilson
James C. Jackson,George W. Clark
James C. Jackson,Edmonson
James C. Jackson,Daniel Webster
James C. Jackson,John Mclean
James C. Jackson,Mclean
James C. Jackson,Moses Stuart
James C. Jackson,F. Julius Lemoyne
James C. Jackson,William Goodell
James C. Jackson,Smith
James C. Jackson,Lemoyne
James C. Jackson,Christ
James C. Jackson,Wm. L. Chaplin
James C. Jackson,Charles T. Torrey
James C. Jackson,Drayton
James C. Jackson,Sayre
James C. Jackson,Harris
William L. Chaplin,Joseph C. Hathaway
William L. Chaplin,William R. Smith
William L. Chaplin,Eleazer Seymour
William L. Chaplin,F. Rice
William L. Chaplin,Phebe Hathaway
William L. Chaplin,Louisa Burnett
William L. Chaplin,Frederick Douglass
William L. Chaplin,Francis Hawley
William L. Chaplin,Chas
William L. Chaplin,B. Ray
William L. Chaplin,A. Wheaton
William L. Chaplin,Charles D. Miller
William L. Chaplin,Anne V. Adams
William L. Chaplin,S. R. Ward
William L. Chaplin,Goodell
William L. Chaplin,H. Burleigh
William L. Chaplin,Loguen
William L. Chaplin,E. L. Platt
William L. Chaplin,Theodosia Gilbert
William L. Chaplin,Chaplin
William L. Chaplin,Charles A. Wheaton
William L. Chaplin,G. W. Clark
William L. Chaplin,Wm. R. Smith
William L. Chaplin,George W. Lawson
William L. Chaplin,Cyrus P. Grosvenor
William L. Chaplin,G. W. Johnson
William L. Chaplin,N. Y.
William L. Chaplin,Francis Jackson
William L. Chaplin,John G. Whittier
William L. Chaplin,Silas Cornell
William L. Chaplin,Thomas Davis
William L. Chaplin,C. D. Cleveland
William L. Chaplin,E. M. Davis
William L. Chaplin,C. C. Foote
William L. Chaplin,Hon J. R. Giddings
William L. Chaplin,G. W. Julian
William L. Chaplin,C. Durkee
William L. Chaplin,Wilson
William L. Chaplin,George W. Clark
William L. Chaplin,Edmonson
William L. Chaplin,Daniel Webster
William L. Chaplin,John Mclean
William L. Chaplin,Mclean
William L. Chaplin,Moses Stuart
William L. Chaplin,F. Julius Lemoyne
William L. Chaplin,William Goodell
William L. Chaplin,Smith
William L. Chaplin,Lemoyne
William L. Chaplin,Christ
William L. Chaplin,Wm. L. Chaplin
William L. Chaplin,Charles T. Torrey
William L. Chaplin,Drayton
William L. Chaplin,Sayre
William L. Chaplin,Harris
Joseph C. Hathaway,William R. Smith
Joseph C. Hathaway,Eleazer Seymour
Joseph C. Hathaway,F. Rice
Joseph C. Hathaway,Phebe Hathaway
Joseph C. Hathaway,Louisa Burnett
Joseph C. Hathaway,Frederick Douglass
Joseph C. Hathaway,Francis Hawley
Joseph C. Hathaway,Chas
Joseph C. Hathaway,B. Ray
Joseph C. Hathaway,A. Wheaton
Joseph C. Hathaway,Charles D. Miller
Joseph C. Hathaway,Anne V. Adams
Joseph C. Hathaway,S. R. Ward
Joseph C. Hathaway,Goodell
Joseph C. Hathaway,H. Burleigh
Joseph C. Hathaway,Loguen
Joseph C. Hathaway,E. L. Platt
Joseph C. Hathaway,Theodosia Gilbert
Joseph C. Hathaway,Chaplin
Joseph C. Hathaway,Charles A. Wheaton
Joseph C. Hathaway,G. W. Clark
Joseph C. Hathaway,Wm. R. Smith
Joseph C. Hathaway,George W. Lawson
Joseph C. Hathaway,Cyrus P. Grosvenor
Joseph C. Hathaway,G. W. Johnson
Joseph C. Hathaway,N. Y.
Joseph C. Hathaway,Francis Jackson
Joseph C. Hathaway,John G. Whittier
Joseph C. Hathaway,Silas Cornell
Joseph C. Hathaway,Thomas Davis
Joseph C. Hathaway,C. D. Cleveland
Joseph C. Hathaway,E. M. Davis
Joseph C. Hathaway,C. C. Foote
Joseph C. Hathaway,Hon J. R. Giddings
Joseph C. Hathaway,G. W. Julian
Joseph C. Hathaway,C. Durkee
Joseph C. Hathaway,Wilson
Joseph C. Hathaway,George W. Clark
Joseph C. Hathaway,Edmonson
Joseph C. Hathaway,Daniel Webster
Joseph C. Hathaway,John Mclean
Joseph C. Hathaway,Mclean
Joseph C. Hathaway,Moses Stuart
Joseph C. Hathaway,F. Julius Lemoyne
Joseph C. Hathaway,William Goodell
Joseph C. Hathaway,Smith
Joseph C. Hathaway,Lemoyne
Joseph C. Hathaway,Christ
Joseph C. Hathaway,Wm. L. Chaplin
Joseph C. Hathaway,Charles T. Torrey
Joseph C. Hathaway,Drayton
Joseph C. Hathaway,Sayre
Joseph C. Hathaway,Harris
William R. Smith,Eleazer Seymour
William R. Smith,F. Rice
William R. Smith,Phebe Hathaway
William R. Smith,Louisa Burnett
William R. Smith,Frederick Douglass
William R. Smith,Francis Hawley
William R. Smith,Chas
William R. Smith,B. Ray
William R. Smith,A. Wheaton
William R. Smith,Charles D. Miller
William R. Smith,Anne V. Adams
William R. Smith,S. R. Ward
William R. Smith,Goodell
William R. Smith,H. Burleigh
William R. Smith,Loguen
William R. Smith,E. L. Platt
William R. Smith,Theodosia Gilbert
