Label,modularity_class
Wm. C. Munro,1
Sharpe,1
H. H. Garnis,1
S. N. Davis,1
T. T. Tatum,1
Dod,1
W.W. Brown,15
L. Remond,9
P. Harris,1
O. D. Jenkins,1
C. Munro,1
Munro,1
Sumner,13
Malvin,1
Watson,13
Outley,1
Garmit,1
W. P. Mclntire,1
John Wandall,1
W. C. Munto,1
W. Brown,1
H. G. Piere,1
J. T. Hilton,1
C. Nell,1
J. E. Crawford,1
A. Nigers,1
J B. Vashon,1
A. Duncan,1
J. G. M. Britton,1
M. Robinson,1
Alton,5
Banks,1
Beman,1
J. Roxburg,1
T. Pollock,1
James H. Gloucester,1
J. W C. Pennington,1
N. Y. ; S. E. Cornish,1
N. J,1
W. P. Mcintosh,1
James H. Fountain,1
Shelby,12
Warren,1
N. Y,1
N. Gloucester,1
A. H. Yancy,1
Wm. P Mcintyre C.S. Morton,1
J. Wandell,1
Ulyssis R Videl,1
James Hall,1
John Wandell,1
Peter Hornbeck,1
George W. Gordon,14
James Mccune Smith,1
Ulyssis B. Videl,1
James H. Henderson,1
William P. Powell,1
George B. Moreton,1
U. B. Videl,1
Videl,1
Powell,1
William P. Johnson,1
York La Ture,1
Clarence P. Selden,1
Samuel Lawyer,1
Lewis Washington,1
Thomas Addison,1
Henry March,1
William Beggett,1
Abram Stanley,1
Henry &#183; H. Garnet,1
Richard Livingston,1
L. D. Beckett,1
John Carasaw,1
J. W. Randolph,1
H. Smothers,1
Cato Jackson,1
Austin White,1
Augustus Howard,1
John Landon,1
George Mott,1
Thomas Thompson,1
R. Munay,1
Tobias Harklis,1
Thomas Jackson,1
John Jackson,5
James Jackson,1
Moses Wilcox,1
Peter Johnson,1
Peter Wandell,1
Albert Brown,1
Peter Ofdyke,1
John T. Simpson,1
John Dunbar,1
Garret Harris,1
Henry Harris,1
N. Caesar,1
N. Hardy,1
Thomas Gray,1
F. Lattin,1
Henry L. Simpson,1
H. M. I. Rogers,1
Daniel A. Oliver,1
Francis Whitbeck,1
Francis Cobus,1
Alexander Welch,1
A. James,1
Isaac Hornbeck,1
John Tribble,1
Caroline Jones,1
Constantin,1
Peter P. Feler,1
Samuel Serrington,1
Robert H. Johnson,1
Simon Jackson,1
Nicholas Hemous,1
Powel,1
R. Thompson,1
Serrington,1
James Mccune,1
Wm. P. Powell,1
Reuben Murray,1
Francis Simpson,1
G.B. Moreton,1
E. George,1
Wm. Begget,1
W. Gordon,1
R. Livingston,1
L.D. Beckett,1
Carrasol,1
John H. Smothers,1
Thomas Whitbeck,1
Samuel Serringson,1
C. F. Selden,1
H.J.M. Rogers,1
W. P. Powell,1
P. Powell,1
Messrs,1
J. Mccune Smith,1
P. Powel,1
Lyceums,1
H. H.,1
Moreton,1
R. Johnson,1
Theodore St. Wright,1
Theodore Sedgwick Wright,1
Anthony,15
Sedgwick Wright,1
Jeremiah Powers,1
James M'Cune Smith,5
Bouck,1
Ulysses B. Vidal,9
V.,1
Moulton,1
J. M'Cune Smith,1
Rich,1
U. B. Vidal,1
W. B. Powell,1
H. K. Thomas,0
T. E. Grant,0
William W. Brown,15
Wm. H. Seward,9
William H. Seward,15
Wm. W. Brown,15
Burgess,0
Charles Miner,0
Clark,5
Martindale,0
J. C. Kneeland,1
Peyton Harris,15
Wm. C. Nell,9
Charles Seth,1
John Spence,1
Henry Morton,1
James H. Gardner,1
L. Harper,1
James H. Davis,1
Wiliam S. Baltimore,1
Littleton Becket,1
William G. Allen,1
Henry Brister,1
Griffin Griffins,1
Enoch Moore,15
William H,1
Topp,1
Stephen Woods,1
John Harrison,1
George B. Wilson,1
Benjamin Cutter,1
Abraham Caldwell,1
A. Hooper,1
P. Farnum,1
Wm. Warren,1
George Haggimore,1
Samuel Van Wranken,1
John Lyle,1
Willis A. Hodges,1
Thomas Van Rensselaer,1
Moses A. Jackson,1
Wm. P. Mcintyre,1
Lewis Jackson,1
Williams Meads,1
R. D. Kenny,9
James Blair Webb,1
Charles Van Hoosen,1
William C. Nell,9
Benjamin Weeden,1
Henry Watson,1
Leonard Collins,1
Charles C. Seth,1
James Mars,1
Samuel Smith,1
P. I. Schuyler,1
Thomas Thomas,1
Martin Thomas,1
Z. P. Purnell,1
Ames G. Beman,1
Peter G. Smith,1
Lewis Hayden,1
J. Billings,1
Samuel B. Hyers,1
H. Topp,1
Wm. P. Mcintrye,1
L. Collins,1
Van Rensselaer,1
R. D. Jenny,1
J. Mc.Smith,1
S. Baltimore,1
W. C. Nell,1
Seth,1
J.Mccune Smith,1
Wm H. Topp,1
G.B. Wilson,1
P.G. Smith,1
George Wilson,1
J. Mc,1
Cune Smith,1
Lyall,1
C.,1
